,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_coef0,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.1176712989807129,0.01744346435955306,0.06400227546691895,0.007872953378695252,0.1,0.001,rbf,,,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.915,0.915,0.91,0.905,0.905,0.9100000000000001,0.004472135954999583,275,0.9175,0.91875,0.92125,0.93375,0.91875,0.9219999999999999,0.005999999999999999
1,0.09660239219665527,0.0036106193890500958,0.06683559417724609,0.0069865215436351585,0.1,0.01,rbf,,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.945,0.95,0.935,0.925,0.93,0.9369999999999999,0.009273618495495661,267,0.9525,0.95,0.94625,0.95375,0.95125,0.95075,0.0025739075352467404
2,0.11971459388732911,0.012953601052089451,0.06768589019775391,0.0060319915202293566,0.1,0.05,rbf,,,"{'C': 0.1, 'gamma': 0.05, 'kernel': 'rbf'}",0.95,0.95,0.94,0.935,0.935,0.942,0.006782329983125229,264,0.97,0.96875,0.9725,0.97125,0.9775,0.9719999999999999,0.0030207614933986634
3,0.13769989013671874,0.015401578238417608,0.0837033748626709,0.02409905806371442,0.1,0.1,rbf,,,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.84,0.82,0.84,0.88,0.82,0.8400000000000001,0.021908902300206666,298,0.9475,0.95625,0.95875,0.97875,0.97125,0.9625,0.011124297730643481
4,0.23547306060791015,0.04282108348826661,0.13958487510681153,0.018998016245123553,0.1,0.05,rbf,,,"{'C': 0.1, 'gamma': 0.05, 'kernel': 'rbf'}",0.95,0.95,0.94,0.935,0.935,0.942,0.006782329983125229,264,0.97,0.96875,0.9725,0.97125,0.9775,0.9719999999999999,0.0030207614933986634
5,0.11379742622375488,0.006631734171642079,0.09718742370605468,0.010946528657700592,1,0.001,rbf,,,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.96,0.96,0.955,0.94,0.94,0.951,0.009165151389911688,258,0.95875,0.9525,0.9575,0.96375,0.9625,0.959,0.003984344362627304
6,0.06575198173522949,0.00612899128658263,0.06458778381347656,0.005730895227714635,1,0.01,rbf,,,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.975,0.97,0.99,0.965,0.965,0.9729999999999999,0.009273618495495713,79,0.99,0.99375,0.99,0.99125,0.9925,0.9914999999999999,0.0014577379737113437
7,0.19139494895935058,0.036951339453838355,0.0929781436920166,0.03456408582558467,1,0.05,rbf,,,"{'C': 1, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.975,0.99,0.97,0.955,0.974,0.011575836902790236,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.14692082405090331,0.021943312712386042,0.06060261726379394,0.006713783587062594,1,0.1,rbf,,,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.97,0.975,0.975,0.96,0.93,0.962,0.016911534525287736,241,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0.11300077438354492,0.012838149159802846,0.050876808166503903,0.007258726262941403,1,0.05,rbf,,,"{'C': 1, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.975,0.99,0.97,0.955,0.974,0.011575836902790236,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.04379773139953613,0.0038677686831525507,0.03920140266418457,0.006524135694034308,5,0.001,rbf,,,"{'C': 5, 'gamma': 0.001, 'kernel': 'rbf'}",0.965,0.965,0.98,0.96,0.955,0.9650000000000001,0.008366600265340762,236,0.97875,0.9775,0.9775,0.98125,0.98125,0.9792500000000001,0.001695582495781281
11,0.04239940643310547,0.004924337072111428,0.036804723739624026,0.005112844892801392,5,0.01,rbf,,,"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}",0.975,0.975,0.99,0.965,0.965,0.974,0.009165151389911688,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.13733277320861817,0.03474784622164956,0.06934442520141601,0.017359298481240727,5,0.05,rbf,,,"{'C': 5, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.98,0.99,0.97,0.955,0.975,0.011832159566199244,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0.24386487007141114,0.027772084468219365,0.1026461124420166,0.02827022129861006,5,0.1,rbf,,,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",0.97,0.975,0.975,0.96,0.93,0.962,0.016911534525287736,241,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.16198406219482422,0.016406679719358483,0.0718080997467041,0.010925144350508516,5,0.05,rbf,,,"{'C': 5, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.98,0.99,0.97,0.955,0.975,0.011832159566199244,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0.03756251335144043,0.005899466651831694,0.03559865951538086,0.001494401945140965,10,0.001,rbf,,,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.97,0.96,0.99,0.955,0.965,0.968,0.012083045973594582,162,0.985,0.985,0.98375,0.9875,0.99125,0.9865,0.0026692695630078185
16,0.042000865936279295,0.0049512096069770275,0.0420011043548584,0.017369932493801938,10,0.01,rbf,,,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.975,0.975,0.99,0.965,0.965,0.974,0.009165151389911688,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,0.12559247016906738,0.026675514287924768,0.048999977111816403,0.007616135434021495,10,0.05,rbf,,,"{'C': 10, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.98,0.99,0.97,0.955,0.975,0.011832159566199244,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0.14791007041931153,0.0207187255020918,0.0644040584564209,0.009242011061670174,10,0.1,rbf,,,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.97,0.975,0.975,0.96,0.93,0.962,0.016911534525287736,241,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0.12699503898620607,0.012966418307833794,0.049799108505249025,0.0033670088685772773,10,0.05,rbf,,,"{'C': 10, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.98,0.99,0.97,0.955,0.975,0.011832159566199244,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0.04552745819091797,0.009633236756681545,0.040800046920776364,0.008377898929002965,15,0.001,rbf,,,"{'C': 15, 'gamma': 0.001, 'kernel': 'rbf'}",0.98,0.955,0.99,0.96,0.96,0.969,0.013564659966250548,134,0.98875,0.9925,0.98875,0.99125,0.995,0.99125,0.002371708245126281
21,0.054805850982666014,0.008581017200781254,0.05100059509277344,0.007562923725124272,15,0.01,rbf,,,"{'C': 15, 'gamma': 0.01, 'kernel': 'rbf'}",0.975,0.975,0.99,0.965,0.965,0.974,0.009165151389911688,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,0.15035977363586425,0.014055252306204764,0.07328763008117675,0.02636073480842054,15,0.05,rbf,,,"{'C': 15, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.98,0.99,0.97,0.955,0.975,0.011832159566199244,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,0.2562546253204346,0.05327809474598834,0.10200552940368653,0.02407039513970383,15,0.1,rbf,,,"{'C': 15, 'gamma': 0.1, 'kernel': 'rbf'}",0.97,0.975,0.975,0.96,0.93,0.962,0.016911534525287736,241,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,0.1833798885345459,0.031181397729228802,0.08605928421020508,0.008232013672580824,15,0.05,rbf,,,"{'C': 15, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.98,0.99,0.97,0.955,0.975,0.011832159566199244,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,0.05725226402282715,0.0043530345383389155,0.05544328689575195,0.006719463451701444,100,0.001,rbf,,,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.975,0.965,0.99,0.955,0.96,0.969,0.012409673645990868,134,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,0.0531217098236084,0.007808452297509441,0.05206875801086426,0.0033583372924213136,100,0.01,rbf,,,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.975,0.975,0.99,0.965,0.965,0.974,0.009165151389911688,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,0.1823877811431885,0.024516320195362786,0.09037642478942871,0.034366118025290056,100,0.05,rbf,,,"{'C': 100, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.98,0.99,0.97,0.955,0.975,0.011832159566199244,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,0.17085695266723633,0.00450479572765309,0.07883491516113281,0.008582905087763154,100,0.1,rbf,,,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.97,0.975,0.975,0.96,0.93,0.962,0.016911534525287736,241,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,0.13661184310913085,0.005003702275513721,0.054596757888793944,0.00818708115785913,100,0.05,rbf,,,"{'C': 100, 'gamma': 0.05, 'kernel': 'rbf'}",0.98,0.98,0.99,0.97,0.955,0.975,0.011832159566199244,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,0.10620126724243165,0.007252819249538986,0.016597986221313477,0.003385619817471865,0.1,0.001,poly,0,2,"{'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",0.78,0.8,0.865,0.84,0.735,0.804,0.045541190146942793,308,0.8375,0.8525,0.845,0.84125,0.84625,0.8445,0.005037360419902465
31,0.1042013168334961,0.005810733880781076,0.017598438262939452,0.00257616318375739,0.1,0.01,poly,0,2,"{'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.78,0.8,0.865,0.84,0.735,0.804,0.045541190146942793,308,0.8375,0.8525,0.845,0.84125,0.84625,0.8445,0.005037360419902465
32,0.06360044479370117,0.007553460244143475,0.012800979614257812,0.003124880824090178,0.1,0.05,poly,0,2,"{'C': 0.1, 'coef0': 0, 'degree': 2, 'gamma': 0.05, 'kernel': 'poly'}",0.955,0.95,0.97,0.96,0.905,0.9480000000000001,0.02249444375840396,260,0.98875,0.99,0.9875,0.99125,0.98875,0.98925,0.001274754878398169
